feature,x,score
distance_to_nearest_major_city_km,317.1488201686807,-0.00301
distance_to_nearest_major_city_km,318.72670578932144,-0.00368
distance_to_nearest_major_city_km,321.59727925782613,-0.00322
distance_to_nearest_major_city_km,330.5515775555962,-0.00256
distance_to_nearest_major_city_km,337.6137636897906,-0.00115
distance_to_nearest_major_city_km,340.2428376974344,0.02212
distance_to_nearest_major_city_km,342.9979190022832,0.02343
distance_to_nearest_major_city_km,347.09891211523336,0.02269
distance_to_nearest_major_city_km,354.16608354649793,0.02322
distance_to_nearest_major_city_km,363.2876554326224,0.02406
distance_to_nearest_major_city_km,369.66904737826434,0.02433
distance_to_nearest_major_city_km,374.1642066299073,0.02496
distance_to_nearest_major_city_km,380.93385515581235,0.02541
distance_to_nearest_major_city_km,383.9720082440566,0.02552
distance_to_nearest_major_city_km,391.38824178827815,0.02606
distance_to_nearest_major_city_km,400.84315744147943,0.02743
distance_to_nearest_major_city_km,407.266344919722,0.02722
distance_to_nearest_major_city_km,412.33626433106815,0.02771
distance_to_nearest_major_city_km,427.8378834972462,0.02633
distance_to_nearest_major_city_km,433.6406086930085,0.02514
distance_to_nearest_major_city_km,437.8437972504844,0.0219
distance_to_nearest_major_city_km,446.2078483633905,0.02064
distance_to_nearest_major_city_km,457.5044689977211,0.02029
distance_to_nearest_major_city_km,467.7188452439601,0.02017
distance_to_nearest_major_city_km,475.40267491540675,0.01996
distance_to_nearest_major_city_km,481.3963926787966,0.01694
distance_to_nearest_major_city_km,486.11851011274865,0.0157
distance_to_nearest_major_city_km,493.1646079671642,0.01376
distance_to_nearest_major_city_km,502.02111273451334,0.01145
distance_to_nearest_major_city_km,506.61212688893386,0.00896
distance_to_nearest_major_city_km,513.680985707159,0.00698
distance_to_nearest_major_city_km,518.4867208615533,0.00619
distance_to_nearest_major_city_km,526.0198795012396,0.0053
distance_to_nearest_major_city_km,539.0865404455199,0.00235
distance_to_nearest_major_city_km,541.5750849529637,-0.01989
distance_to_nearest_major_city_km,558.9585521139795,-0.03331
distance_to_nearest_major_city_km,569.1280603193802,-0.03498
distance_to_nearest_major_city_km,590.9194533647742,-0.03575
distance_to_nearest_major_city_km,614.7494324935958,-0.03745
distance_to_nearest_major_city_km,654.9154736839726,-0.04099
distance_to_nearest_major_city_km,670.3068091777266,-0.04229
distance_to_nearest_major_city_km,724.9979119091487,-0.04326
distance_to_nearest_major_city_km,768.0680527805573,-0.03986
distance_to_nearest_major_city_km,857.5923828842614,-0.03861
distance_to_nearest_major_city_km,935.5109818080978,-0.03558
distance_to_nearest_major_city_km,947.0629252074855,-0.07053
distance_to_nearest_major_city_km,987.6462228371058,-0.07029
num_nearby_stations,0.0,0.19112
num_nearby_stations,0.5,0.18579
num_nearby_stations,1.5,0.18816
num_nearby_stations,2.5,0.18907
num_nearby_stations,3.5,0.02435
num_nearby_stations,4.5,-0.03913
num_nearby_stations,5.5,-0.07368
num_nearby_stations,6.5,-0.11005
num_nearby_stations,7.5,-0.12281
num_nearby_stations,8.5,-0.14171
num_nearby_stations,9.5,-0.17316
num_nearby_stations,10.5,-0.20519
num_nearby_stations,11.5,-0.22832
num_nearby_stations,12.5,-0.25594
num_nearby_stations,13.5,-0.28904
num_nearby_stations,14.5,-0.31864
num_nearby_stations,15.5,-0.44047
num_nearby_stations,16.5,-0.48324
num_nearby_stations,17.5,-0.54491
num_nearby_stations,18.5,-0.48264
num_nearby_stations,19.5,-0.41685
num_nearby_stations,21.0,-0.33547
is_northeast_corridor,0.0,-0.00601
is_northeast_corridor,0.5,0.0474
station_type,Platform only (no shelter),-0.70843
station_type,Platform with Shelter,-0.31385
station_type,Station Building (with waiting room),0.17809
weekly_departures,12.0,-0.6645
weekly_departures,13.0,-0.50521
weekly_departures,18.0,-0.59502
weekly_departures,22.5,-0.58283
weekly_departures,25.5,-0.50075
weekly_departures,32.5,-0.49162
weekly_departures,37.5,-0.48041
weekly_departures,38.5,-0.4689
